RamanShift,BSA 1_0__X_10445.8__Y_6664.27__Time_0.txt,BSA 1_1__X_10565.8__Y_6664.27__Time_62.txt,BSA 1_2__X_10685.8__Y_6664.27__Time_125.txt,BSA 1_3__X_10805.8__Y_6664.27__Time_187.txt,BSA 1_4__X_10925.8__Y_6664.27__Time_249.txt
300.141602,6744.116211,6668.339844,6346.863281,6438.713379,6707.375977
301.230316,6646.634766,6557.063965,6180.405762,6472.085938,6828.07373
302.318848,6578.979004,6595.058594,6131.038574,6239.003906,6822.474609
303.407166,6589.414063,6488.321289,6125.306152,6421.691895,6591.711914
304.49527,6413.715332,6457.376953,6170.127441,6126.465332,6700.964844
305.58316,6412.630371,6320.692871,6037.98584,6309.200684,6601.102051
306.670868,6305.796875,6464.418945,5986.253906,6119.588379,6574.764648
307.758362,6288.595215,6509.328613,5971.291504,5996.583984,6559.913086
308.845642,6395.572754,6370.275879,6048.3125,6269.087402,6464.564941
309.932739,6290.974609,6318.57666,5945.94873,6081.65918,6631.400391
311.019592,6250.753906,6207.041992,6029.89502,6080.508789,6437.103027
312.106262,6286.45166,6284.150391,5904.478027,6086.260742,6355.48291
313.192719,6416.523438,6094.315918,5958.528809,5999.955566,6239.309082
314.278992,6291.131348,6095.46875,5982.674805,5950.447754,6302.640625
315.365051,6280.809082,6170.296387,5940.061523,6034.45752,6405.135742
316.450897,6169.160156,6120.801758,5867.495117,6063.231934,6348.777344
317.53653,6158.810547,6036.739746,5919.275391,6073.591309,6409.861328
318.621979,6106.990723,6019.45166,5892.750488,5855.89209,6208.351563
319.707214,6163.442871,6209.524902,5806.309082,6101.232422,6195.700195
320.792236,6189.958008,6116.212891,5770.53418,5881.151367,6346.665527
321.877045,6177.297852,6004.425781,5748.575195,5879.958008,6317.900391
322.96167,6090.860352,6134.662598,5777.326172,5793.463867,6210.740723
324.046082,6124.292969,6022.835938,5773.806152,5932.908691,6251.11377
325.13028,6012.442871,6047.036621,5691.871582,5818.716309,6307.64502
326.214294,5898.243652,5962.831055,5556.851074,5835.962402,6285.77002
327.298096,6141.607422,6007.793457,5631.729492,5860.13623,6162.37207
328.381683,6073.540527,5921.240234,5692.790527,5870.473633,6103.539063
329.465057,6074.6875,5959.287109,5613.085449,5686.941895,6160.083984
330.548248,6052.750488,5893.467773,5639.538574,5796.512695,6142.780273
331.631226,6104.688965,5853.020996,5739.885742,5744.503418,6229.369141
332.713989,6071.202148,5941.880371,5768.681152,5754.825195,6209.76123
333.79657,5899.117188,6040.012207,5624.255859,5785.938965,6247.890137
334.878937,6172.833496,6124.319336,5498.257324,5782.411133,6105.837891
335.96109,5892.102051,5843.579102,5769.63916,5885.17041,6178.620117
337.04306,5890.903809,6085.033203,5539.621582,5890.903809,6156.675781
338.124817,5898.950195,5984.475586,5515.241211,5892.015625,6257.23291
339.20636,5990.229004,5918.559082,5592.576172,5691.989258,6135.881348
340.287689,5917.36377,5810.994629,5628.316895,5672.252441,6326.653809
341.368835,5890.727051,5876.850098,5585.436035,5782.024902,5985.552246
342.449768,5970.48877,5746.104004,5729.911133,5762.296875,6053.765625
343.530518,6084.98584,5765.697754,5451.037109,5712.48291,6128.945801
344.611023,6007.454102,5845.46582,5465.950195,5847.779785,6153.243652
345.691345,5876.657715,5906.74707,5645.202148,5693.808105,6179.864746
346.771484,6104.635742,5931.01123,5690.251953,5724.977051,6215.755371
347.85141,5957.599609,5904.344727,5682.063965,5654.278809,6249.34375
348.931122,6016.620117,5965.671387,5738.716309,5750.29541,6130.097656
350.01062,6087.244141,6057.132324,5603.136719,6015.438965,6233.171387
351.089935,6002.672852,5967.921875,5585.659668,5861.351563,6146.310547
352.169037,6047.831055,5989.901855,5811.479004,5746.598145,6198.447754
353.247925,6097.641602,6000.301758,5654.977051,5861.244629,6225.110352
354.32663,5959.708008,6138.198242,5607.364258,5813.670898,6305.097656
355.405121,6123.125977,6137.036621,5745.212402,5900.55127,6299.331055
356.483398,6170.658691,6094.134277,5723.106445,5975.869141,6200.804688
357.561493,6206.612305,6074.408691,5803.043457,5953.801758,6201.973633
358.639374,6203.142578,6168.345703,5850.533203,6001.320313,6346.970215
359.717041,6285.52002,6188.070313,5703.140625,5905.001465,6457.217773
360.794525,6228.687988,6168.350098,5841.135254,5954.848145,6256.536133
361.871796,6199.687012,6246.109375,5691.36377,6088.273926,6248.430664
362.948883,6272.823242,6198.533691,5831.729492,5922.269531,6509.621582
364.025726,6164.87207,6134.686035,5846.759766,6037.162598,6510.847656
365.102417,6233.383789,6149.776367,5817.669922,5996.496582,6509.751953
366.178864,6169.518066,6157.903809,5853.608887,5862.900391,6408.772461
367.255127,6258.965332,6159.063477,5731.57666,5966.22998,6249.672363
368.331177,6139.310059,6041.713379,5865.109375,5978.972656,6318.237793
369.407043,6033.554688,6028.90625,5703.521973,5780.219727,6252.026855
370.482697,6116.052246,6060.261719,5660.428223,5813.852539,6243.905762
371.558136,5993.976563,5984.67627,5656.844238,5826.572754,6261.356934
372.633392,5888.132813,6011.383301,5576.517578,5753.254395,6104.402832
373.708435,6056.708008,5770.619141,5424.056152,5738.056152,6175.330078
374.783264,5967.120117,5978.751953,5564.65918,5597.228516,6041.563477
375.85791,5726.256348,5937.995117,5428.425781,5579.667969,5998.491699
376.932343,5908.858887,5708.716309,5434.102051,5566.754883,5964.712402
378.006592,5877.383301,5779.621094,5484.006348,5560.819336,6054.287109
379.080597,5666.631348,5787.693359,5431.491699,5592.131348,6025.161133
380.154449,5858.63916,5621.126465,5507.027344,5614.141113,5989.038086
381.228058,5822.477539,5598.894531,5333.389648,5435.865234,5915.637207
382.301483,5609.265625,5578.983398,5399.617188,5469.5,5881.809082
383.374725,5726.814453,5465.869629,5349.375977,5414.612305,5719.825195
384.447754,5527.48584,5569.431152,5313.097656,5366.694824,5818.773926
385.520569,5596.117188,5579.801758,5227.859375,5400.334473,5749.946289
386.59317,5440.980469,5373.376465,5077.315918,5375.70752,5823.294434
387.665588,5521.279297,5556.253418,5264.800781,5304.438477,5712.472168
388.737823,5561.962891,5617.932129,5177.172852,5394.054199,5806.829102
389.809814,5565.341309,5483.703613,5171.148926,5406.731445,5737.946289
390.881653,5508.064453,5552.390137,5176.787109,5258.439941,5636.375977
391.953247,5562.767578,5460.099121,5191.760742,5345.763672,5642.102539
393.024658,5454.124512,5372.440918,5188.069336,5241.74707,5703.842285
394.095856,5387.456543,5413.133301,4995.301758,5245.066895,5592.870605
395.16687,5456.175293,5388.469238,5173.677734,5183.016602,5670.966797
396.237671,5531.925293,5382.476563,4943.472168,5223.687988,5597.308594
397.308289,5493.260254,5332.105957,5005.125977,5089.206543,5652.079102
398.378693,5370.484375,5375.15625,5031.763184,5249.011719,5524.660645
399.448883,5334.110352,5121.493652,4981.306641,5205.605957,5570.091797
400.51889,5330.438965,5377.176758,4902.788574,5026.643555,5564.12793
401.588684,5502.06543,5378.187012,5083.684082,5144.45459,5682.039551
402.658295,5311.402344,5264.647461,4960.737793,5103.341309,5533.490234
403.727692,5396.575684,5445.678223,5094.947266,5024.80127,5691.189453
404.796875,5311.05957,5273.641602,4864.378906,5016.390625,5507.505859
405.865875,5429.011719,5309.718262,5022.01123,5178.72998,5527.25293
406.934662,5390.259277,5200.758301,5025.293945,5261.585938,5376.222168
408.003265,5398.291992,5208.754883,4906.899902,5056.657227,5585.48877
409.071655,5570.154785,5338.455078,5076.330078,5233.137207,5481.219727
410.139862,5367.547852,5184.962402,4920.447266,5051.53418,5442.45459
411.207855,5413.040039,5459.865723,4982.244629,5188.277344,5459.865723
412.275635,5430.448242,5339.121094,5081.532227,5128.366699,5671.645508
413.343231,5459.57373,5415.072754,5199.594238,5187.883301,5728.922363
414.410614,5619.895508,5528.53418,5041.273438,5195.885254,5840.100098
415.477814,5548.316406,5534.258301,5222.633789,5203.889648,5686.555664
416.5448,5575.13623,5518.892578,5113.470703,5375.94043,5570.449219
417.611572,5700.410156,5592.589844,5346.478516,5344.134277,5906.674805
418.678162,5612.394531,5617.083008,5192.753906,5413.124023,5961.703613
419.744568,5716.618652,5650.964355,5320.347656,5374.277832,5887.789063
420.81076,5677.822266,5708.310547,5316.655762,5462.060547,5879.512695
421.87674,5678.887695,5692.961914,5202.714844,5432.591309,5880.616211
422.942535,5649.453613,5860.604004,5403.111328,5553.262695,5942.718262
424.008118,5781.920898,5591.849609,5434.629883,5535.532227,6004.84375
425.073517,5698.513184,5714.942383,5358.19873,5595.245605,5930.866211
